"SG_UF_MUN","CO_MUN_GEO","NO_MUN","CO_UF"
"AC",1200104,"BRASILEIA",12
"AC",1200385,"PLACIDO DE CASTRO",12
"AC",1200393,"PORTO WALTER",12
"AC",1200054,"ASSIS BRASIL",12
"AC",1200351,"MARECHAL THAUMATURGO",12
"AC",1200179,"CAPIXABA",12
"AC",1200138,"BUJARI",12
"AC",1200013,"ACRELANDIA",12
"AC",1200401,"RIO BRANCO",12
"AC",1200302,"FEIJO",12
"AC",1200328,"JORDAO",12
"AC",1200203,"CRUZEIRO DO SUL",12
"AC",1200252,"EPITACIOLANDIA",12
"AC",1200500,"SENA MADUREIRA",12
"AC",1200609,"TARAUACA",12
"AC",1200450,"SENADOR GUIOMARD",12
"AC",1200344,"MANOEL URBANO",12
"AC",1200336,"MANCIO LIMA",12
"AC",1200807,"PORTO ACRE",12
"AC",1200435,"SANTA ROSA DO PURUS",12
"AC",1200708,"XAPURI",12
"AC",1200427,"RODRIGUES ALVES",12
"AL",2707107,"PIRANHAS",27
"AL",2707206,"POCO DAS TRINCHEIRAS",27
"AL",2707305,"PORTO CALVO",27
"AL",2707404,"PORTO DE PEDRAS",27
"AL",2707503,"PORTO REAL DO COLEGIO",27
"AL",2707602,"QUEBRANGULO",27
"AL",2707701,"RIO LARGO",27
"AL",2707800,"ROTEIRO",27
"AL",2707909,"SANTA LUZIA DO NORTE",27
"AL",2709400,"VICOSA",27
"AL",2700102,"AGUA BRANCA",27
"AL",2700201,"ANADIA",27
"AL",2700300,"ARAPIRACA",27
"AL",2700409,"ATALAIA",27
"AL",2700508,"BARRA DE SANTO ANTONIO",27
"AL",2700607,"BARRA DE SAO MIGUEL",27
"AL",2700706,"BATALHA",27
"AL",2700805,"BELEM",27
"AL",2700904,"BELO MONTE",27
"AL",2701001,"BOCA DA MATA",27
"AL",2701100,"BRANQUINHA",27
"AL",2701209,"CACIMBINHAS",27
"AL",2701308,"CAJUEIRO",27
"AL",2701357,"CAMPESTRE",27
"AL",2701407,"CAMPO ALEGRE",27
"AL",2701506,"CAMPO GRANDE",27
"AL",2701605,"CANAPI",27
"AL",2701704,"CAPELA",27
"AL",2701803,"CARNEIROS",27
"AL",2701902,"CHA PRETA",27
"AL",2702009,"COITE DO NOIA",27
"AL",2702108,"COLONIA LEOPOLDINA",27
"AL",2702207,"COQUEIRO SECO",27
"AL",2702306,"CORURIPE",27
"AL",2702355,"CRAIBAS",27
"AL",2702405,"DELMIRO GOUVEIA",27
"AL",2702504,"DOIS RIACHOS",27
"AL",2702553,"ESTRELA DE ALAGOAS",27
"AL",2702603,"FEIRA GRANDE",27
"AL",2702702,"FELIZ DESERTO",27
"AL",2702801,"FLEXEIRAS",27
"AL",2702900,"GIRAU DO PONCIANO",27
"AL",2703007,"IBATEGUARA",27
"AL",2703106,"IGACI",27
"AL",2703205,"IGREJA NOVA",27
"AL",2703304,"INHAPI",27
"AL",2703403,"JACARE DOS HOMENS",27
"AL",2703502,"JACUIPE",27
"AL",2703601,"JAPARATINGA",27
"AL",2703700,"JARAMATAIA",27
"AL",2703759,"JEQUIA DA PRAIA",27
"AL",2703809,"JOAQUIM GOMES",27
"AL",2703908,"JUNDIA",27
"AL",2704005,"JUNQUEIRO",27
"AL",2704104,"LAGOA DA CANOA",27
"AL",2704203,"LIMOEIRO DE ANADIA",27
"AL",2704302,"MACEIO",27
"AL",2704401,"MAJOR ISIDORO",27
"AL",2704500,"MARAGOGI",27
"AL",2704609,"MARAVILHA",27
"AL",2704708,"MARECHAL DEODORO",27
"AL",2704807,"MARIBONDO",27
"AL",2704906,"MAR VERMELHO",27
"AL",2705002,"MATA GRANDE",27
"AL",2705101,"MATRIZ DE CAMARAGIBE",27
"AL",2705200,"MESSIAS",27
"AL",2705309,"MINADOR DO NEGRAO",27
"AL",2705408,"MONTEIROPOLIS",27
"AL",2705507,"MURICI",27
"AL",2705606,"NOVO LINO",27
"AL",2705705,"OLHO D'AGUA DAS FLORES",27
"AL",2705804,"OLHO D'AGUA DO CASADO",27
"AL",2705903,"OLHO D'AGUA GRANDE",27
"AL",2706000,"OLIVENCA",27
"AL",2706109,"OURO BRANCO",27
"AL",2706208,"PALESTINA",27
"AL",2706307,"PALMEIRA DOS INDIOS",27
"AL",2706406,"PAO DE ACUCAR",27
"AL",2706422,"PARICONHA",27
"AL",2706448,"PARIPUEIRA",27
"AL",2706505,"PASSO DE CAMARAGIBE",27
"AL",2706604,"PAULO JACINTO",27
"AL",2706703,"PENEDO",27
"AL",2706802,"PIACABUCU",27
"AL",2706901,"PILAR",27
"AL",2707008,"PINDOBA",27
"AL",2709103,"TAQUARANA",27
"AL",2709152,"TEOTONIO VILELA",27
"AL",2709202,"TRAIPU",27
"AL",2709301,"UNIAO DOS PALMARES",27
"AL",2708204,"SAO BRAS",27
"AL",2708303,"SAO JOSE DA LAJE",27
"AL",2708402,"SAO JOSE DA TAPERA",27
"AL",2708501,"SAO LUIS DO QUITUNDE",27
"AL",2708600,"SAO MIGUEL DOS CAMPOS",27
"AL",2708709,"SAO MIGUEL DOS MILAGRES",27
"AL",2708808,"SAO SEBASTIAO",27
"AL",2708907,"SATUBA",27
"AL",2708956,"SENADOR RUI PALMEIRA",27
"AL",2709004,"TANQUE D'ARCA",27
"AL",2708006,"SANTANA DO IPANEMA",27
"AL",2708105,"SANTANA DO MUNDAU",27
"AM",1300409,"BARCELOS",13
"AM",1300300,"AUTAZES",13
"AM",1304237,"TONANTINS",13
"AM",1300508,"BARREIRINHA",13
"AM",1300201,"ATALAIA DO NORTE",13
"AM",1300631,"BERURI",13
"AM",1304260,"UARINI",13
"AM",1300607,"BENJAMIN CONSTANT",13
"AM",1304203,"TEFE",13
